timestamp,steps,bpm
2021-01-27 1,4,67.8909
2021-01-27 2,0,65.51515
2021-01-27 3,0,65.38182
2021-01-27 4,0,58.37878333
2021-01-27 5,10,58.76364
2021-01-27 6,218,66.09546667
2021-01-27 7,11,65.4182
2021-01-27 8,0,63.568175
2021-01-27 9,0,82
2021-01-27 12,661,80.3091
2021-01-27 13,12,65.83333333
2021-01-27 14,307,67.00002
2021-01-27 15,620,69.04376667
2021-01-27 16,88,63.8909
2021-01-27 17,1554,79.89393333
2021-01-27 18,4998,108.4462
2021-01-27 19,0,70.30908
2021-01-27 20,15,66.89395
2021-01-27 21,0,62.1818
2021-01-27 22,0,60.84848333
2021-01-27 23,0,62.05658
2021-01-28 0,8,63.71211667
2021-01-28 1,19,63.90908
2021-01-28 2,0,63.48485
2021-01-28 3,0,58.81816
2021-01-28 4,0,56.45455
2021-01-28 5,15,59.27272
2021-01-28 6,96,63.18181667
2021-01-28 7,0,62.23634
2021-01-28 8,635,68.78788333
2021-01-28 9,31,69.05454
2021-01-28 10,0,71.84364
2021-01-28 11,14,69.24243333
2021-01-28 12,0,60.4
2021-01-28 13,38,64.81818
2021-01-28 14,212,72.204525
2021-01-28 15,641,67.2909
2021-01-28 16,798,81.07423333
2021-01-28 17,116,73.90908
2021-01-28 18,33,74.0606
2021-01-28 19,1312,84.56368
2021-01-28 20,262,76.60608333
2021-01-28 21,162,67.8
2021-01-28 22,0,61.16666667
2021-01-28 23,7,62.95636
2021-01-29 0,0,66.78788333
2021-01-29 1,0,61.59998
2021-01-29 2,0,61.86365
2021-01-29 3,7,63.52726
2021-01-29 4,25,65.71211667
2021-01-29 5,0,64.03636
2021-01-29 6,143,68.342
2021-01-29 15,77,79.8182
2021-01-29 16,123,70.1818
2021-01-29 17,188,68.46546
2021-01-29 18,0,64.52525
2021-01-29 19,8,68.7273
2021-01-29 20,210,72.80303333
2021-01-29 21,5964,101.29086
2021-01-29 22,86,73.45456667
2021-01-29 23,29,65.70606
2021-01-30 0,16,61.13636667
2021-01-30 1,0,63.89092
2021-01-30 2,0,66.28788333
2021-01-30 3,0,64.16362
2021-01-30 4,7,63.5909
2021-01-30 5,0,65.96362
2021-01-30 6,0,63.15153333
2021-01-30 7,0,65.14544
2021-01-30 8,152,70.24241667
